#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all.fasta	F15_assembly.fasta_contig_12	14182	15604	+	aslA	1-1428/1428	========/======	7/7	99.58	96.29	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F15_assembly.fasta_contig_18	8496	9311	-	fepC	1-816/816	========/======	2/2	99.88	96.21	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	9311	10304	-	fepG	1-989/993	========/======	6/9	99.40	93.27	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	10301	11316	-	fepD	1-1017/1017	========/======	7/7	99.61	95.39	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	11415	12661	+	entS	1-1251/1251	========/======	4/4	99.68	95.44	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	12665	13620	-	fepB	1-957/957	========/======	5/5	99.69	95.93	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	13980	15166	+	entC	1-1188/1188	========/======	3/3	99.83	96.80	vfdb	NP_752611	(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	15176	16783	+	entE	1-1611/1611	========/======	3/3	99.81	95.16	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	16797	17653	+	entB	1-858/858	========/======	3/3	99.77	97.44	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_18	17653	18398	+	entA	1-747/747	========/======	1/1	99.87	95.72	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_2	1057882	1058950	+	ompA	1-1041/1041	========/======	4/32	99.81	83.29	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
all.fasta	F15_assembly.fasta_contig_2	1491226	1492076	-	entB	1-858/858	========/======	5/9	99.07	81.96	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
all.fasta	F15_assembly.fasta_contig_2	1855047	1855800	-	yagV/ecpE	3-756/756	===============	0/0	99.74	84.88	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
