Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1014	+	DALOPK_00005		Replication initiation protein	SO:0001217, UniRef:UniRef50_P13961
contig_1	cds	1338	1637	-	DALOPK_00010		hypothetical protein	
contig_1	cds	2088	2942	+	DALOPK_00015		hypothetical protein	
contig_1	cds	3169	4236	-	DALOPK_00020		hypothetical protein	PFAM:PF00672.28
contig_1	cds	4229	7234	-	DALOPK_00025		Tn3-like element Tn3 family transposase	BlastRules:WP_032495017, SO:0001217, UniRef:UniRef50_P03008
contig_1	cds	7396	7953	+	DALOPK_00030		Transposon Tn1331 resolvase	SO:0001217, UniRef:UniRef50_P21424
contig_1	cds	8136	8741	+	DALOPK_00035	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NCBIProtein:WP_063840280.1, SO:0001217, UniRef:UniRef50_P19650
contig_1	cds	8823	9080	+	DALOPK_00040		hypothetical protein	PFAM:PF18765.4
contig_1	cds	9092	9796	+	DALOPK_00045	tnp	IS6 family IS15DIV transposase	IS:IS15DIV, SO:0001217, UniRef:UniRef50_Q573Q1
contig_1	cds	10116	10250	-	DALOPK_00050		hypothetical protein	
contig_1	cds	11013	11879	+	DALOPK_00055		Uncharacterized protein	SO:0001217, UniRef:UniRef50_P18351
contig_1	cds	12056	12325	-	DALOPK_00060		hypothetical protein	
contig_1	cds	12740	13945	+	DALOPK_00065		Plasmid partition protein A	SO:0001217, UniRef:UniRef50_P07620
contig_1	cds	13945	14919	+	DALOPK_00070		Plasmid Partition par B protein	SO:0001217, UniRef:UniRef50_P07621
contig_1	cds	15001	15354	-	DALOPK_00075	umuC	DNA polymerase V subunit UmuC	SO:0001217, UniRef:UniRef50_A0A378UD54
contig_1	cds	15726	15989	-	DALOPK_00080		hypothetical protein	
contig_1	cds	16095	16403	-	DALOPK_00085		hypothetical protein	
contig_1	cds	16400	16564	-	DALOPK_00090		hypothetical protein	PFAM:PF00717.26
contig_1	cds	17218	18582	+	DALOPK_00095		Group II intron reverse transcriptase/maturase	SO:0001217, UniRef:UniRef50_A0A536UFL4
contig_1	cds	18733	19032	+	DALOPK_00100		IS1 transposase	SO:0001217, UniRef:UniRef50_A0A376M784
contig_1	cds	19052	19429	+	DALOPK_00105		Transposase	SO:0001217, UniRef:UniRef50_A0A6N3QHQ2
contig_1	cds	19680	20630	-	DALOPK_00110		hypothetical protein	
contig_1	oriC	20382	20828	?			origin of replication	
contig_1	cds	21145	22113	+	DALOPK_00115		IS5 family transposase	SO:0001217, UniRef:UniRef50_A0A7T5UB26
contig_1	cds	22155	22244	-	DALOPK_00120		hypothetical protein	
contig_1	cds	22253	22639	-	DALOPK_00125	stbA	StbA	SO:0001217, UniRef:UniRef50_A0A1V2G4P2
contig_1	oriT	22866	23124	?			origin of transfer	
contig_1	cds	23186	23602	+	DALOPK_00130	traK	TraK protein	SO:0001217, UniRef:UniRef50_A0A485C5B5
contig_1	cds	23604	25133	+	DALOPK_00135		type IV secretion system DNA-binding domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001F38762F
contig_1	cds	25133	28375	+	DALOPK_00140		ATP-dependent RecD-like DNA helicase	SO:0001217, UniRef:UniRef50_A0A6G8F840
contig_1	cds	28375	28548	+	DALOPK_00145		hypothetical protein	
contig_1	cds	28698	29396	+	DALOPK_00150		hypothetical protein	
contig_1	cds	29428	30627	-	DALOPK_00155	tet(A)	tetracycline efflux MFS transporter Tet(A)	NCBIProtein:WP_012579085.1, SO:0001217, UniRef:UniRef50_A0A3Q8VRE3
contig_1	cds	30706	31383	+	DALOPK_00160	tetR(A)	tetracycline resistance transcriptional repressor TetR(A)	BlastRules:WP_000164043, SO:0001217, UniRef:UniRef50_P03038
contig_1	cds	31415	31657	-	DALOPK_00165		Relaxase	SO:0001217, UniRef:UniRef50_A0A2P9EC95
contig_1	cds	31926	32420	+	DALOPK_00170		Delta-FipA	SO:0001217, UniRef:UniRef50_L0R2L2
contig_1	cds	32594	33127	-	DALOPK_00175		Endonuclease	SO:0001217, UniRef:UniRef50_A0A198GLY4
contig_1	cds	33127	34122	-	DALOPK_00180		Type IV secretion system protein	SO:0001217, UniRef:UniRef50_A0A8G9M874
contig_1	cds	34164	35324	-	DALOPK_00185	traF	TraF protein	SO:0001217, UniRef:UniRef50_Q46705
contig_1	cds	35324	36208	-	DALOPK_00190	traO	TraO protein	SO:0001217, UniRef:UniRef50_Q46704
contig_1	cds	36219	36917	-	DALOPK_00195	traE	TraE protein	SO:0001217, UniRef:UniRef50_Q46703
contig_1	cds	37136	38176	-	DALOPK_00200	traD	Conjugal transfer protein TraD	SO:0001217, UniRef:UniRef50_G1CCV4
