#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all.fasta	F15_assembly.fasta_contig_19	5549	5867	-	IncI2_1	4-324/324	========/======	2/2	98.46	98.75	plasmidfinder	KP347127	IncI2_1__KP347127	
all.fasta	F15_assembly.fasta_contig_21	100005	100224	+	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F15_assembly.fasta_contig_21	111634	111884	-	IncR_1	1-251/251	===============	0/0	100.00	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F15_assembly.fasta_contig_27	495	774	-	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F15_assembly.fasta_contig_27	5179	5287	-	Col440I_1	1-110/114	========/======	1/1	95.61	91.82	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F15_assembly.fasta_contig_27	5915	6195	-	Col440II_1	2-282/282	===============	0/0	99.65	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F15_assembly.fasta_contig_27	10601	10709	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F15_assembly.fasta_contig_8	20984	21124	-	IncI1_1_Alpha	1-142/142	========/======	1/1	99.30	98.59	plasmidfinder	AP005147	IncI1_1_Alpha_AP005147	
all.fasta	F19_assembly.fasta_contig_2	146832	147248	-	IncA/C2_1	1-417/417	===============	0/0	100.00	98.56	plasmidfinder	JN157804	IncA/C2_1__JN157804	
all.fasta	F19_assembly.fasta_contig_3	13497	13717	+	IncFII_1_pKP91	10-230/230	===============	0/0	96.09	96.83	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F19_assembly.fasta_contig_3	25128	25377	-	IncR_1	1-251/251	========/======	1/1	99.60	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F24_assembly.fasta_contig_2	102087	102503	+	IncA/C2_1	1-417/417	===============	0/0	100.00	98.08	plasmidfinder	JN157804	IncA/C2_1__JN157804	
all.fasta	F24_assembly.fasta_contig_3	118100	118350	+	IncR_1	1-251/251	===============	0/0	100.00	100.00	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F24_assembly.fasta_contig_3	129752	129970	-	IncFII_1_pKP91	10-230/230	========/======	2/2	95.22	95.93	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F28_assembly.fasta_contig_3	1891	2003	-	Col440I_1	1-114/114	========/======	1/1	99.12	90.35	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F28_assembly.fasta_contig_4	129663	129912	+	IncR_1	1-251/251	========/======	1/1	99.60	99.60	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F28_assembly.fasta_contig_4	141328	141546	-	IncFII_1_pKP91	10-230/230	========/======	2/2	95.22	95.93	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F28_assembly.fasta_contig_5	2855	2967	-	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F28_assembly.fasta_contig_5	7353	7465	-	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F28_assembly.fasta_contig_6	4466	4574	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F28_assembly.fasta_contig_6	5203	5483	-	Col440II_1	2-282/282	===============	0/0	99.65	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F28_assembly.fasta_contig_6	9894	10002	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F29_assembly.fasta_contig_4	2045	2157	-	Col440I_1	1-114/114	========/======	1/1	99.12	90.35	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F29_assembly.fasta_contig_5	17191	17410	+	IncFII_1_pKP91	10-230/230	========/======	1/1	95.65	96.38	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
all.fasta	F29_assembly.fasta_contig_5	28816	29066	-	IncR_1	1-251/251	===============	0/0	100.00	99.20	plasmidfinder	DQ449578	IncR_1__DQ449578	
all.fasta	F29_assembly.fasta_contig_6	4397	4676	+	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F29_assembly.fasta_contig_6	5301	5409	+	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F29_assembly.fasta_contig_6	9817	10096	+	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F29_assembly.fasta_contig_6	10723	10831	+	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F29_assembly.fasta_contig_7	1182	1294	+	Col440I_1	1-114/114	========/======	1/1	99.12	96.49	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F32_assembly.fasta_contig_2	453	565	+	Col440I_1	1-114/114	========/======	1/1	99.12	90.35	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F32_assembly.fasta_contig_3	3545	3653	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F32_assembly.fasta_contig_3	4279	4559	-	Col440II_1	2-282/282	===============	0/0	99.65	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
all.fasta	F32_assembly.fasta_contig_3	8964	9072	-	Col440I_1	1-110/114	========/======	1/1	95.61	92.73	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
all.fasta	F32_assembly.fasta_contig_3	9700	9979	-	Col440II_1	2-282/282	========/======	1/1	99.29	90.75	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
