#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all.fasta	F15_assembly	199	1038	+	sul1	1-840/840	===============	0/0	100.00	100.00	card	JF969163:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
all.fasta	F15_assembly	4785	5466	-	QnrB20	1-681/681	========/======	1/1	100.00	99.41	card	AB379831:0-681	QnrB20 is a plasmid-mediated quinolone resistance protein found in Escherichia coli	fluoroquinolone
all.fasta	F15_assembly	8155	8741	+	AAC(6')-Ib10	26-612/612	===============	0/0	95.92	99.83	card	U59183:247-859	AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa	aminoglycoside
all.fasta	F15_assembly	29456	30702	-	tet(A)	1-1247/1275	===============	0/0	97.80	99.36	card	AF534183.1:2970-4245	TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.	tetracycline
all.fasta	F15_assembly	51015	51854	-	sul1	1-840/840	===============	0/0	100.00	100.00	card	JF969163:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
all.fasta	F15_assembly	52379	52837	-	dfrA25	1-459/459	===============	0/0	100.00	100.00	card	DQ267940:53-512	dfrA25 is an integron-encoded dihydrofolate reductase found in Salmonella agona	diaminopyrimidine
all.fasta	F15_assembly	57086	57967	-	KPC-1	1-882/882	===============	0/0	100.00	100.00	card	AY034847:5-887	KPC-2 is a beta-lactamase found in Klebsiella pneumoniae and Pseudomonas aeruginosa.	carbapenem;cephalosporin;monobactam;penam
all.fasta	F15_assembly	409445	410077	-	CRP	1-633/633	===============	0/0	100.00	88.15	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
all.fasta	F15_assembly	1178801	1180339	-	Klebsiella_pneumoniae_KpnH	1-1539/1539	========/======	2/2	99.94	84.22	card	ASTU01000063.1:61248-62787	KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
all.fasta	F15_assembly	1180355	1181527	-	Klebsiella_pneumoniae_KpnG	1-1173/1173	===============	0/0	100.00	99.49	card	ACWO01000051.1:22092-23265	KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
all.fasta	F15_assembly	1181674	1182183	-	emrR	1-510/531	===============	0/0	96.05	83.14	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
all.fasta	F15_assembly	1227759	1230911	-	oqxB	1-3153/3153	===============	0/0	100.00	100.00	card	EU370913.1:47850-51003	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
all.fasta	F15_assembly	1230935	1232110	-	oqxA	1-1176/1176	===============	0/0	100.00	100.00	card	EU370913.1:46651-47827	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
all.fasta	F15_assembly	1389012	1392125	-	acrD	1-3114/3114	========/======	2/6	99.90	80.17	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
all.fasta	F15_assembly	1685259	1685971	-	baeR	1-713/723	===============	0/0	98.62	81.63	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
all.fasta	F15_assembly	1688860	1691937	-	mdtC	1-3078/3078	===============	0/0	100.00	81.84	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
all.fasta	F15_assembly	1691938	1695060	-	mdtB	1-3123/3123	========/======	2/4	99.94	81.31	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
all.fasta	F15_assembly	2114401	2114805	-	H-NS	1-405/414	===============	0/0	97.83	87.16	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
all.fasta	F15_assembly	2726692	2727060	+	marA	1-369/384	===============	0/0	96.09	81.57	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F15_assembly	2747169	2748029	+	SHV-182	1-861/861	===============	0/0	100.00	99.88	card	KP050489:0-861	From the Lahey list of beta-lactamases.	carbapenem;cephalosporin;penam
