#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all.fasta	F15_assembly.fasta_contig_1	41676	43423	-	msbA	1-1749/1749	========/======	5/7	99.77	99.31	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
all.fasta	F15_assembly.fasta_contig_18	35952	37311	+	tolC	1-1362/1488	========/=====.	6/6	91.26	99.34	card	FJ768952:0-1488	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;macrolide;penam;penem;peptide;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F15_assembly.fasta_contig_2	428296	428662	+	marA	1-369/384	========/======	2/2	95.57	80.76	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F15_assembly.fasta_contig_2	448722	449581	+	SHV-182	1-861/861	========/======	1/1	99.88	99.65	card	KP050489:0-861	From the Lahey list of beta-lactamases.	carbapenem;cephalosporin;penam
all.fasta	F15_assembly.fasta_contig_2	490262	490591	-	Klebsiella_pneumoniae_KpnF	1-330/330	===============	0/0	100.00	99.09	card	AP006725.1:2484238-2484568	KpnF subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan.	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
all.fasta	F15_assembly.fasta_contig_2	490578	490939	-	Klebsiella_pneumoniae_KpnE	1-363/363	========/======	1/1	99.72	98.90	card	AP006725.1:2483889-2484252	KpnE subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
all.fasta	F15_assembly.fasta_contig_2	617836	618989	+	Klebsiella_pneumoniae_OmpK37	1-1125/1125	========/======	8/33	99.82	94.81	card	AJ011502.1:300-1425	Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
all.fasta	F15_assembly.fasta_contig_2	1108979	1110726	-	msbA	1-1749/1749	========/======	1/1	99.94	80.27	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
all.fasta	F15_assembly.fasta_contig_2	1557476	1557828	-	ramA	21-375/375	========/======	2/2	94.13	80.84	card	JQ727668:0-375	RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F15_assembly.fasta_contig_2	1702439	1703629	+	Klebsiella_pneumoniae_acrA	1-1197/1197	========/======	5/6	99.50	96.99	card	AJ318073.1:793-1990	AcrA is a subunit of the AcrAB multidrug efflux system that in K. pneumoniae which is encoded by the acrRAB operon.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F15_assembly.fasta_contig_2	1703652	1706794	+	acrB	1-3148/3150	========/======	9/13	99.65	83.38	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F15_assembly.fasta_contig_2	2297388	2297806	-	FosA6	1-420/420	========/======	1/1	99.76	98.09	card	KU254579.1:59421-59841	fosA6 is a plasmid-encoded enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.	fosfomycin
all.fasta	F15_assembly.fasta_contig_2	2864022	2865385	+	cpxA	1-1367/1374	========/======	3/3	99.27	81.49	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
all.fasta	F15_assembly.fasta_contig_2	3384837	3385466	-	CRP	1-633/633	========/======	3/3	99.53	86.89	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
all.fasta	F15_assembly.fasta_contig_2	4152185	4153721	-	Klebsiella_pneumoniae_KpnH	1-1539/1539	========/======	4/4	99.81	83.57	card	ASTU01000063.1:61248-62787	KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
all.fasta	F15_assembly.fasta_contig_2	4153737	4154905	-	Klebsiella_pneumoniae_KpnG	1-1173/1173	========/======	3/4	99.66	98.47	card	ACWO01000051.1:22092-23265	KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
all.fasta	F15_assembly.fasta_contig_2	4155053	4155562	-	emrR	1-510/531	===============	0/0	96.05	83.14	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
all.fasta	F15_assembly.fasta_contig_2	4200988	4204128	-	oqxB	1-3153/3153	========/======	11/12	99.62	99.27	card	EU370913.1:47850-51003	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
all.fasta	F15_assembly.fasta_contig_2	4204151	4205321	-	oqxA	1-1176/1176	========/======	6/7	99.49	98.30	card	EU370913.1:46651-47827	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
all.fasta	F15_assembly.fasta_contig_2	4657342	4658053	-	baeR	1-713/723	========/======	1/1	98.48	81.35	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
all.fasta	F15_assembly.fasta_contig_2	4660930	4664005	-	mdtC	1-3078/3078	========/======	4/4	99.90	81.26	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
all.fasta	F15_assembly.fasta_contig_2	4664006	4667120	-	mdtB	1-3123/3123	========/======	10/12	99.68	80.74	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
all.fasta	F15_assembly.fasta_contig_2	5085295	5085697	-	H-NS	1-405/414	========/======	2/2	97.34	86.17	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
all.fasta	F15_assembly.fasta_contig_21	4693	5532	-	sul1	1-840/840	===============	0/0	100.00	99.64	card	JF969163:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
all.fasta	F15_assembly.fasta_contig_21	6056	6512	-	dfrA25	1-459/459	========/======	2/2	99.56	99.56	card	DQ267940:53-512	dfrA25 is an integron-encoded dihydrofolate reductase found in Salmonella agona	diaminopyrimidine
all.fasta	F15_assembly.fasta_contig_21	10749	11629	-	KPC-1	1-882/882	========/======	1/1	99.89	99.66	card	AY034847:5-887	KPC-2 is a beta-lactamase found in Klebsiella pneumoniae and Pseudomonas aeruginosa.	carbapenem;cephalosporin;monobactam;penam
all.fasta	F15_assembly.fasta_contig_21	108529	109114	+	AAC(6')-Ib10	26-612/612	========/======	1/1	95.75	99.49	card	U59183:247-859	AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa	aminoglycoside
all.fasta	F15_assembly.fasta_contig_21	129775	131018	-	tet(A)	1-1247/1275	========/======	3/3	97.57	98.80	card	AF534183.1:2970-4245	TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.	tetracycline
all.fasta	F15_assembly.fasta_contig_24	3166	4703	+	msbA	1-1537/1749	========/=====.	10/11	87.59	98.77	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
all.fasta	F15_assembly.fasta_contig_24	10782	11602	-	bacA	1-820/822	========/======	1/1	99.76	99.27	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
all.fasta	F15_assembly.fasta_contig_8	10873	12057	-	CMY-59	1-1188/1188	========/======	5/5	99.66	98.65	card	AB587082:0-1188	CMY-59 is a beta-lactamase found in Shigella spp.	cephamycin
all.fasta	F19_assembly.fasta_contig_1	524426	524844	+	FosA6	1-420/420	========/======	1/1	99.76	98.09	card	KU254579.1:59421-59841	fosA6 is a plasmid-encoded enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.	fosfomycin
all.fasta	F19_assembly.fasta_contig_1	1115474	1118611	-	acrB	1-3148/3150	========/======	12/18	99.49	83.31	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F19_assembly.fasta_contig_1	1118634	1119827	-	Klebsiella_pneumoniae_acrA	1-1197/1197	========/======	6/7	99.58	97.08	card	AJ318073.1:793-1990	AcrA is a subunit of the AcrAB multidrug efflux system that in K. pneumoniae which is encoded by the acrRAB operon.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F19_assembly.fasta_contig_1	1264457	1264809	+	ramA	21-375/375	========/======	2/2	94.13	80.84	card	JQ727668:0-375	RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F19_assembly.fasta_contig_1	1711652	1713398	+	msbA	1-1749/1749	========/======	2/2	99.89	80.45	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
all.fasta	F19_assembly.fasta_contig_1	2203451	2204603	-	Klebsiella_pneumoniae_OmpK37	1-1125/1125	========/======	9/34	99.73	94.90	card	AJ011502.1:300-1425	Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
all.fasta	F19_assembly.fasta_contig_1	2331564	2331925	+	Klebsiella_pneumoniae_KpnE	1-363/363	========/======	1/1	99.72	98.62	card	AP006725.1:2483889-2484252	KpnE subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
all.fasta	F19_assembly.fasta_contig_1	2331912	2332239	+	Klebsiella_pneumoniae_KpnF	1-330/330	========/======	2/2	99.39	98.79	card	AP006725.1:2484238-2484568	KpnF subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan.	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
all.fasta	F19_assembly.fasta_contig_1	2372946	2373805	-	SHV-182	1-861/861	========/======	1/1	99.88	99.77	card	KP050489:0-861	From the Lahey list of beta-lactamases.	carbapenem;cephalosporin;penam
all.fasta	F19_assembly.fasta_contig_1	2393870	2394238	-	marA	1-369/384	===============	0/0	96.09	81.30	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
all.fasta	F19_assembly.fasta_contig_1	3004691	3005093	+	H-NS	1-405/414	========/======	2/2	97.34	86.67	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
all.fasta	F19_assembly.fasta_contig_1	3423347	3426464	+	mdtB	1-3123/3123	========/======	11/13	99.71	80.78	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
all.fasta	F19_assembly.fasta_contig_1	3426465	3429537	+	mdtC	1-3078/3078	========/======	7/7	99.81	81.29	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
all.fasta	F19_assembly.fasta_contig_1	3432415	3433124	+	baeR	1-713/723	========/======	3/3	98.20	81.63	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
all.fasta	F19_assembly.fasta_contig_1	3885261	3886433	+	oqxA	1-1176/1176	========/======	2/3	99.74	99.41	card	EU370913.1:46651-47827	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
all.fasta	F19_assembly.fasta_contig_1	3886457	3889599	+	oqxB	1-3153/3153	========/======	12/12	99.65	99.49	card	EU370913.1:47850-51003	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
all.fasta	F19_assembly.fasta_contig_1	3935041	3935549	+	emrR	1-510/531	========/======	1/1	95.86	83.14	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
all.fasta	F19_assembly.fasta_contig_1	3935696	3936865	+	Klebsiella_pneumoniae_KpnG	1-1173/1173	========/======	4/5	99.66	98.98	card	ACWO01000051.1:22092-23265	KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
all.fasta	F19_assembly.fasta_contig_1	3936881	3938414	+	Klebsiella_pneumoniae_KpnH	1-1539/1539	========/======	7/7	99.61	83.83	card	ASTU01000063.1:61248-62787	KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
all.fasta	F19_assembly.fasta_contig_1	4705202	4705833	+	CRP	1-633/633	========/======	1/1	99.84	87.52	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
all.fasta	F19_assembly.fasta_contig_1	5225361	5226726	-	cpxA	1-1367/1374	========/======	3/3	99.34	81.65	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
all.fasta	F19_assembly.fasta_contig_2	16324	17136	-	APH(3')-Ia	1-814/816	========/======	1/1	99.63	99.02	card	BX664015.1:103833-103017	APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.	aminoglycoside
